Timestamp,what's your age ,what's your degree ,what is your year of studies ,what is your major ,  How many hours do you sleep on average per night?  ,   How many hours do you spend on screens per day (excluding academic work)?  ,  Do you engage in regular physical activity ? ,"  How many caffeinated drinks (coffee, tea, energy drinks) do you consume per day?  ",  How many hours do you study per week outside of class?  ,do u have exams in the next two weeks ,  How would you rate your current academic workload?  ,"   On a scale from 1 to 10, how would you rate your current stress level?  "
26/02/2026 23:08:06,23,cycle d'ingénieur,4th,Healthcare it,7–8 hours,2–4 hours,no,2,Less than 10 hours,no,low,6
26/02/2026 23:12:06,22,cycle d'ingénieur,4th,Biomedical engineering ,Less than 5 hours,4–6 hours,yes,2,Less than 10 hours,no,low,8
26/02/2026 23:16:11,25,cycle d'ingénieur,5th,IT,Less than 5 hours,More than 6 hours,no,0,Less than 10 hours,no,high,7
26/02/2026 23:17:38,22,préparatoire intégrée,2nd,AI,5–6 hours,2–4 hours,no,0,Less than 10 hours,yes,moderate,7
26/02/2026 23:20:00,22,cycle d'ingénieur,1st,Telecommunications engineering ,7–8 hours,More than 6 hours,no,1,10–20 hours,yes,moderate,4
26/02/2026 23:24:42,21,licence,3rd,Network security,7–8 hours,More than 6 hours,no,1,Less than 10 hours,no,high,3
26/02/2026 23:26:10,22,cycle d'ingénieur,4th,Biomedical engineering ,5–6 hours,2–4 hours,no,2,10–20 hours,yes,moderate,6
26/02/2026 23:34:47,18,pharmacie,1st,Pharmacie,7–8 hours,4–6 hours,yes,0,Less than 10 hours,yes,moderate,5
26/02/2026 23:39:01,23,mastère,2nd,Master pro en systeme de telecommunication et réseaux ,More than 8 hours,2–4 hours,no,2,10–20 hours,no,high,5
26/02/2026 23:39:21,20,licence,1st,LAW ,7–8 hours,4–6 hours,yes,1,10–20 hours,no,moderate,4
26/02/2026 23:46:28,22,cycle d'ingénieur,2nd,Medical informatics ,7–8 hours,4–6 hours,no,0,Less than 10 hours,no,high,6
26/02/2026 23:50:34,19,licence,1st,Biotechnology ,Less than 5 hours,More than 6 hours,no,1,Less than 10 hours,no,moderate,10
27/02/2026 00:01:43,26,cycle d'ingénieur,5th,Mécatronique ,7–8 hours,More than 6 hours,yes,1,Less than 10 hours,no,high,6
27/02/2026 00:10:04,24,mastère,2nd,Business law master ,7–8 hours,4–6 hours,yes,1,20–30 hours,no,moderate,8
27/02/2026 00:13:07,22,licence,3rd,English ,7–8 hours,More than 6 hours,yes,1,Less than 10 hours,yes,moderate,10
27/02/2026 00:14:54,22,cycle d'ingénieur,1st,Computer science ,Less than 5 hours,More than 6 hours,yes,0,Less than 10 hours,no,low,4
27/02/2026 00:16:29,19,licence,1st,Law,Less than 5 hours,More than 6 hours,no,2,Less than 10 hours,no,low,6
27/02/2026 00:23:00,19,licence,1st,Psychology,5–6 hours,More than 6 hours,no,1,20–30 hours,yes,high,3
27/02/2026 00:26:16,27,doctorat,1st,Architecture and urban planning,More than 8 hours,More than 6 hours,yes,3 or more,More than 30 hours,no,high,7
27/02/2026 00:33:45,21,licence,1st,Administration des affaires ,5–6 hours,Less than 2 hours,no,1,Less than 10 hours,yes,moderate,5
27/02/2026 01:18:40,21,licence,2nd,Sc de gestion,5–6 hours,4–6 hours,yes,1,Less than 10 hours,no,low,1
27/02/2026 10:52:13,22,cycle d'ingénieur,1st,Biomedical Engineering,5–6 hours,Less than 2 hours,no,3 or more,Less than 10 hours,yes,moderate,10
27/02/2026 10:59:00,20,Bachelor degree at TBS,2nd,The science of Business administration ,5–6 hours,More than 6 hours,no,0,10–20 hours,yes,moderate,3
27/02/2026 20:55:02,23,mastère,2nd,Graphic design,7–8 hours,4–6 hours,no,1,Less than 10 hours,no,moderate,7
27/02/2026 20:56:05,19,licence,1st,Économie ,7–8 hours,More than 6 hours,no,2,Less than 10 hours,yes,moderate,6
27/02/2026 23:30:09,23,mastère,1st,Droit / law,5–6 hours,2–4 hours,no,3 or more,Less than 10 hours,no,moderate,10
28/02/2026 12:41:41,19,médecine,1st,Medicine,Less than 5 hours,2–4 hours,no,0,More than 30 hours,no,high,8
28/02/2026 16:59:42,19,licence,1st,Sciences de gestion ,7–8 hours,4–6 hours,no,3 or more,10–20 hours,yes,moderate,6
28/02/2026 18:00:17,22,cycle d'ingénieur,2nd,Mechanical engineering ,7–8 hours,2–4 hours,yes,1,10–20 hours,yes,moderate,3
28/02/2026 19:00:33,21,licence,1st,inf de gestion,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,low,10
28/02/2026 19:03:43,22,cycle d'ingénieur,4th,Industrial computer science,More than 8 hours,4–6 hours,yes,1,Less than 10 hours,yes,moderate,4
28/02/2026 19:06:14,22,cycle d'ingénieur,2nd,GII,Less than 5 hours,More than 6 hours,no,1,Less than 10 hours,yes,high,10
28/02/2026 19:18:47,22,cycle d'ingénieur,4th,Informatique ,7–8 hours,4–6 hours,no,1,10–20 hours,yes,low,4
28/02/2026 21:57:48,23,cycle d'ingénieur,2nd,STIC,7–8 hours,4–6 hours,no,2,10–20 hours,yes,moderate,4
28/02/2026 23:06:52,21,cycle d'ingénieur,2nd,Telecommunications,5–6 hours,4–6 hours,yes,1,10–20 hours,yes,moderate,8
02/03/2026 14:17:35,20,licence,1st,Web development,7–8 hours,4–6 hours,no,0,10–20 hours,yes,moderate,6
02/03/2026 20:23:20,23,cycle d'ingénieur,4th,CIGBS2,5–6 hours,4–6 hours,no,2,10–20 hours,no,high,10
08/03/2026 22:05:05,20,licence,1st,Licence,5–6 hours,2–4 hours,yes,1,10–20 hours,yes,moderate,5
21/03/2026 00:47:49,22,licence,2nd,IT,Less than 5 hours,More than 6 hours,no,3 or more,Less than 10 hours,yes,low,8
01/04/2026 21:19:51,22,cycle d'ingénieur,2nd,BIOMEDICAL ,7–8 hours,4–6 hours,yes,1,Less than 10 hours,no,low,2
01/04/2026 21:24:42,22,cycle d'ingénieur,2nd,Biomedical engineering ,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,moderate,6
01/04/2026 21:47:42,22,cycle d'ingénieur,4th,ttis,5–6 hours,2–4 hours,no,0,Less than 10 hours,no,moderate,3
01/04/2026 21:58:59,23,cycle d'ingénieur,4th,engineering,5–6 hours,4–6 hours,yes,1,Less than 10 hours,no,low,2
02/04/2026 00:09:51,22,cycle d'ingénieur,4th,**,5–6 hours,4–6 hours,no,0,10–20 hours,no,moderate,3
07/04/2026 15:51:23,22,cycle d'ingénieur,4th,Cylce GBM,Less than 5 hours,2–4 hours,no,1,10–20 hours,yes,moderate,8
16/02/2026 19:33:00,22,cycle d'ingénieur,5th,Mécatronique,More than 8 hours,Less than 2 hours,no,0,20–30 hours,no,moderate,9
04/02/2026 02:11:00,21,licence,3rd,Marketing,5–6 hours,More than 6 hours,yes,0,Less than 10 hours,yes,low,4
10/04/2026 10:59:00,22,cycle d'ingénieur,1st,Mechanical engineering,Less than 5 hours,4–6 hours,yes,1,Less than 10 hours,no,moderate,6
19/03/2026 09:54:00,29,doctorat,3rd,Architecture and urban planning,7–8 hours,More than 6 hours,no,2,20–30 hours,yes,moderate,7
09/04/2026 23:14:00,23,cycle d'ingénieur,4th,Cybersecurity,7–8 hours,2–4 hours,no,0,10–20 hours,yes,moderate,8
09/03/2026 05:28:00,28,mastère,1st,Cybersecurity,Less than 5 hours,More than 6 hours,yes,2,20–30 hours,yes,low,8
25/01/2026 12:11:00,26,licence,1st,History,7–8 hours,2–4 hours,yes,0,Less than 10 hours,yes,low,4
21/02/2026 11:17:00,22,pharmacie,5th,Industrial pharmacy,7–8 hours,More than 6 hours,yes,3 or more,20–30 hours,no,low,1
28/01/2026 14:19:00,19,cycle d'ingénieur,1st,Biomedical engineering,5–6 hours,4–6 hours,yes,1,10–20 hours,no,high,5
05/02/2026 01:24:00,21,licence,1st,English,5–6 hours,More than 6 hours,yes,0,10–20 hours,yes,moderate,9
04/04/2026 12:47:00,17,licence,2nd,Économie,7–8 hours,2–4 hours,no,0,More than 30 hours,yes,low,3
06/01/2026 12:09:00,25,mastère,1st,Environmental science,7–8 hours,Less than 2 hours,no,3 or more,20–30 hours,no,moderate,3
01/02/2026 15:11:00,30,mastère,2nd,Cybersecurity,7–8 hours,More than 6 hours,no,3 or more,20–30 hours,yes,moderate,6
17/02/2026 13:31:00,21,pharmacie,2nd,Pharmacology,5–6 hours,More than 6 hours,no,0,20–30 hours,yes,high,10
03/03/2026 05:19:00,21,licence,1st,Psychology,Less than 5 hours,More than 6 hours,no,0,10–20 hours,no,high,8
21/02/2026 08:49:00,17,licence,2nd,Marketing,5–6 hours,2–4 hours,no,0,Less than 10 hours,no,moderate,5
12/02/2026 03:20:00,20,cycle d'ingénieur,4th,Biomedical engineering,5–6 hours,4–6 hours,yes,1,More than 30 hours,no,moderate,4
03/04/2026 01:38:00,28,mastère,2nd,Project management,5–6 hours,More than 6 hours,no,1,Less than 10 hours,no,moderate,7
19/02/2026 15:48:00,24,cycle d'ingénieur,5th,Mechanical engineering,Less than 5 hours,4–6 hours,no,2,10–20 hours,yes,moderate,7
24/03/2026 14:34:00,19,pharmacie,2nd,Pharmacology,7–8 hours,Less than 2 hours,yes,0,10–20 hours,no,low,4
20/03/2026 13:25:00,24,licence,2nd,History,Less than 5 hours,2–4 hours,no,0,10–20 hours,no,high,6
28/02/2026 08:28:00,24,cycle d'ingénieur,4th,Cybersecurity,More than 8 hours,More than 6 hours,yes,1,Less than 10 hours,no,low,3
11/02/2026 14:21:00,22,cycle d'ingénieur,4th,Mechanical engineering,Less than 5 hours,2–4 hours,yes,1,Less than 10 hours,yes,low,6
07/01/2026 20:53:00,25,cycle d'ingénieur,4th,Healthcare IT,5–6 hours,2–4 hours,no,2,More than 30 hours,yes,high,10
16/03/2026 04:49:00,24,Bachelor degree at TBS,1st,Finance,7–8 hours,2–4 hours,yes,1,10–20 hours,no,low,3
24/01/2026 00:28:00,26,mastère,1st,Cybersecurity,Less than 5 hours,4–6 hours,no,2,20–30 hours,yes,high,7
18/03/2026 05:19:00,22,licence,3rd,Psychology,5–6 hours,4–6 hours,no,2,20–30 hours,yes,high,10
01/04/2026 16:01:00,20,licence,3rd,Mathematics,Less than 5 hours,4–6 hours,no,1,Less than 10 hours,yes,low,8
10/04/2026 20:10:00,23,cycle d'ingénieur,1st,Cybersecurity,7–8 hours,More than 6 hours,no,1,Less than 10 hours,yes,low,5
10/02/2026 21:45:00,19,licence,3rd,Informatique de gestion,5–6 hours,2–4 hours,no,1,More than 30 hours,yes,low,5
17/03/2026 12:22:00,21,licence,2nd,Web development,5–6 hours,2–4 hours,yes,2,10–20 hours,no,high,7
03/04/2026 09:16:00,21,médecine,3rd,Pediatrics,7–8 hours,4–6 hours,no,1,10–20 hours,yes,high,9
02/03/2026 17:29:00,28,cycle d'ingénieur,5th,Mécatronique,5–6 hours,4–6 hours,no,1,Less than 10 hours,yes,low,8
23/02/2026 14:58:00,22,médecine,4th,Surgery,More than 8 hours,More than 6 hours,yes,1,More than 30 hours,yes,low,7
09/02/2026 04:40:00,24,pharmacie,2nd,Clinical pharmacy,5–6 hours,4–6 hours,no,3 or more,10–20 hours,yes,moderate,6
07/01/2026 16:33:00,25,mastère,2nd,Cybersecurity,7–8 hours,2–4 hours,no,3 or more,More than 30 hours,no,high,7
04/04/2026 09:03:00,24,cycle d'ingénieur,2nd,Mechanical engineering,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,moderate,5
10/03/2026 19:43:00,20,cycle d'ingénieur,2nd,Computer science,Less than 5 hours,2–4 hours,no,1,Less than 10 hours,yes,moderate,8
19/03/2026 23:43:00,22,cycle d'ingénieur,4th,Healthcare IT,Less than 5 hours,More than 6 hours,yes,1,20–30 hours,no,low,7
05/03/2026 13:43:00,23,cycle d'ingénieur,2nd,Computer science,5–6 hours,2–4 hours,no,3 or more,10–20 hours,yes,moderate,6
13/01/2026 17:34:00,21,licence,3rd,Sciences de gestion,5–6 hours,2–4 hours,no,1,10–20 hours,no,low,1
07/04/2026 18:15:00,24,licence,2nd,Mathematics,5–6 hours,2–4 hours,no,2,Less than 10 hours,yes,moderate,4
23/03/2026 13:27:00,22,mastère,1st,Data analytics,5–6 hours,More than 6 hours,no,1,10–20 hours,yes,high,8
18/03/2026 12:36:00,22,cycle d'ingénieur,5th,Electrical engineering,Less than 5 hours,2–4 hours,no,0,20–30 hours,no,high,8
31/01/2026 05:05:00,21,licence,1st,Économie,Less than 5 hours,More than 6 hours,no,1,10–20 hours,yes,high,10
25/03/2026 21:16:00,22,cycle d'ingénieur,4th,Healthcare IT,Less than 5 hours,4–6 hours,no,1,10–20 hours,no,high,9
11/02/2026 07:35:00,18,licence,3rd,Accounting,Less than 5 hours,More than 6 hours,yes,0,Less than 10 hours,yes,moderate,7
20/03/2026 13:36:00,21,licence,3rd,Économie,7–8 hours,4–6 hours,no,0,Less than 10 hours,yes,moderate,8
18/03/2026 10:27:00,21,pharmacie,2nd,Pharmacology,5–6 hours,Less than 2 hours,yes,0,10–20 hours,no,moderate,5
25/02/2026 17:55:00,24,cycle d'ingénieur,2nd,Data science,More than 8 hours,2–4 hours,no,1,More than 30 hours,no,high,9
10/03/2026 12:47:00,24,cycle d'ingénieur,2nd,Robotics,5–6 hours,4–6 hours,no,3 or more,10–20 hours,no,high,10
09/01/2026 10:51:00,30,mastère,2nd,Business law,Less than 5 hours,4–6 hours,no,0,Less than 10 hours,no,high,8
16/03/2026 21:50:00,25,cycle d'ingénieur,2nd,Robotics,5–6 hours,More than 6 hours,yes,3 or more,20–30 hours,yes,high,9
21/02/2026 13:06:00,25,licence,3rd,Mathematics,7–8 hours,4–6 hours,yes,0,Less than 10 hours,no,low,1
29/01/2026 04:34:00,22,cycle d'ingénieur,2nd,Mechanical engineering,More than 8 hours,2–4 hours,no,0,More than 30 hours,no,high,7
19/03/2026 07:35:00,18,Bachelor degree at TBS,3rd,Finance,7–8 hours,More than 6 hours,no,2,20–30 hours,no,moderate,8
16/02/2026 06:13:00,21,licence,2nd,Philosophy,More than 8 hours,4–6 hours,yes,1,10–20 hours,yes,moderate,10
02/04/2026 21:37:00,20,licence,2nd,Sociology,5–6 hours,More than 6 hours,yes,0,20–30 hours,no,moderate,4
26/02/2026 14:26:00,23,cycle d'ingénieur,3rd,Mécatronique,5–6 hours,2–4 hours,no,2,Less than 10 hours,yes,low,3
05/02/2026 08:39:00,24,cycle d'ingénieur,5th,Mécatronique,5–6 hours,2–4 hours,no,1,10–20 hours,no,low,5
14/02/2026 03:44:00,23,cycle d'ingénieur,4th,Data science,Less than 5 hours,4–6 hours,yes,2,More than 30 hours,yes,moderate,8
01/01/2026 13:55:00,23,cycle d'ingénieur,3rd,Industrial computer science,7–8 hours,2–4 hours,yes,2,10–20 hours,yes,low,7
10/01/2026 18:14:00,19,licence,3rd,Économie,7–8 hours,More than 6 hours,yes,0,20–30 hours,no,moderate,9
31/03/2026 04:40:00,33,doctorat,2nd,Mathematics,7–8 hours,4–6 hours,yes,0,Less than 10 hours,no,low,3
28/03/2026 05:20:00,22,licence,1st,Économie,7–8 hours,4–6 hours,yes,0,20–30 hours,yes,low,1
30/03/2026 13:41:00,21,licence,3rd,Sciences de gestion,7–8 hours,2–4 hours,no,1,10–20 hours,yes,moderate,7
18/02/2026 07:28:00,22,cycle d'ingénieur,2nd,Robotics,More than 8 hours,More than 6 hours,yes,2,10–20 hours,no,moderate,1
11/02/2026 12:45:00,21,licence,2nd,English,5–6 hours,More than 6 hours,no,3 or more,More than 30 hours,yes,high,10
02/01/2026 03:11:00,24,cycle d'ingénieur,4th,Data science,5–6 hours,More than 6 hours,no,2,More than 30 hours,no,high,9
29/03/2026 21:58:00,22,licence,1st,Biotechnology,7–8 hours,More than 6 hours,no,0,Less than 10 hours,yes,low,3
19/03/2026 20:29:00,24,pharmacie,2nd,Industrial pharmacy,Less than 5 hours,2–4 hours,no,3 or more,Less than 10 hours,yes,moderate,10
20/01/2026 03:55:00,22,cycle d'ingénieur,5th,Software engineering,More than 8 hours,2–4 hours,yes,1,20–30 hours,no,low,1
04/01/2026 17:11:00,26,mastère,1st,Graphic design,5–6 hours,More than 6 hours,no,2,More than 30 hours,yes,high,10
09/04/2026 09:08:00,32,doctorat,3rd,Computer science,More than 8 hours,2–4 hours,yes,1,Less than 10 hours,no,low,1
05/02/2026 09:24:00,23,cycle d'ingénieur,1st,Biomedical engineering,More than 8 hours,2–4 hours,yes,2,Less than 10 hours,no,low,1
12/02/2026 21:29:00,23,licence,1st,English,Less than 5 hours,4–6 hours,no,1,10–20 hours,yes,high,10
18/02/2026 06:50:00,19,préparatoire intégrée,2nd,Biology,More than 8 hours,4–6 hours,no,1,10–20 hours,no,moderate,5
10/01/2026 01:19:00,23,cycle d'ingénieur,4th,Industrial computer science,7–8 hours,4–6 hours,no,2,Less than 10 hours,yes,high,8
10/01/2026 05:09:00,22,cycle d'ingénieur,5th,Civil engineering,7–8 hours,2–4 hours,no,1,20–30 hours,yes,high,5
21/02/2026 09:16:00,17,licence,3rd,English,5–6 hours,2–4 hours,no,0,10–20 hours,yes,high,10
31/01/2026 02:28:00,22,cycle d'ingénieur,2nd,Industrial computer science,Less than 5 hours,2–4 hours,no,1,10–20 hours,no,moderate,7
04/03/2026 00:21:00,21,médecine,6th,Cardiology,5–6 hours,4–6 hours,no,3 or more,Less than 10 hours,no,low,9
05/04/2026 20:39:00,23,cycle d'ingénieur,3rd,Mechanical engineering,7–8 hours,More than 6 hours,yes,0,Less than 10 hours,yes,low,5
05/03/2026 13:44:00,22,licence,2nd,Web development,5–6 hours,4–6 hours,no,3 or more,10–20 hours,no,high,10
19/03/2026 22:49:00,22,cycle d'ingénieur,1st,Mechanical engineering,5–6 hours,More than 6 hours,yes,3 or more,Less than 10 hours,yes,low,4
06/02/2026 10:51:00,23,licence,2nd,Physics,7–8 hours,4–6 hours,no,3 or more,20–30 hours,no,moderate,5
26/01/2026 11:36:00,26,mastère,1st,Environmental science,Less than 5 hours,More than 6 hours,no,3 or more,10–20 hours,no,high,10
01/03/2026 08:35:00,21,licence,3rd,Informatique de gestion,7–8 hours,2–4 hours,no,3 or more,More than 30 hours,no,high,7
02/03/2026 11:12:00,23,pharmacie,2nd,Industrial pharmacy,Less than 5 hours,More than 6 hours,no,0,20–30 hours,yes,moderate,10
06/01/2026 02:03:00,25,cycle d'ingénieur,4th,Embedded systems,5–6 hours,More than 6 hours,no,0,20–30 hours,no,high,10
13/01/2026 21:30:00,21,licence,2nd,Finance,Less than 5 hours,More than 6 hours,no,1,10–20 hours,no,high,10
07/01/2026 23:36:00,21,médecine,5th,Neurology,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,high,9
11/02/2026 04:43:00,21,cycle d'ingénieur,1st,Mécatronique,7–8 hours,More than 6 hours,no,3 or more,10–20 hours,yes,high,9
15/01/2026 13:36:00,17,licence,1st,History,Less than 5 hours,More than 6 hours,no,0,20–30 hours,yes,high,7
18/03/2026 00:33:00,20,préparatoire intégrée,2nd,Engineering sciences,Less than 5 hours,More than 6 hours,no,3 or more,10–20 hours,yes,moderate,8
05/04/2026 13:59:00,26,mastère,2nd,Telecom & networks,5–6 hours,More than 6 hours,no,1,10–20 hours,no,high,8
20/01/2026 00:36:00,23,cycle d'ingénieur,3rd,Mechanical engineering,7–8 hours,4–6 hours,no,0,20–30 hours,no,high,6
12/02/2026 00:44:00,20,médecine,4th,General medicine,7–8 hours,2–4 hours,yes,1,20–30 hours,no,low,4
21/03/2026 17:10:00,19,préparatoire intégrée,2nd,AI,Less than 5 hours,More than 6 hours,no,0,20–30 hours,yes,high,7
21/02/2026 04:44:00,21,Bachelor degree at TBS,3rd,Entrepreneurship,Less than 5 hours,Less than 2 hours,no,1,10–20 hours,yes,moderate,8
15/02/2026 11:40:00,23,mastère,1st,Graphic design,5–6 hours,More than 6 hours,no,2,10–20 hours,yes,moderate,6
14/02/2026 01:01:00,23,cycle d'ingénieur,5th,Data science,5–6 hours,2–4 hours,yes,1,Less than 10 hours,yes,moderate,9
19/03/2026 11:41:00,24,médecine,6th,Surgery,5–6 hours,4–6 hours,yes,3 or more,10–20 hours,yes,low,4
16/01/2026 11:42:00,22,médecine,1st,Pediatrics,Less than 5 hours,2–4 hours,yes,1,20–30 hours,yes,moderate,5
28/02/2026 04:15:00,18,licence,2nd,Informatique de gestion,Less than 5 hours,4–6 hours,no,2,Less than 10 hours,yes,low,8
10/02/2026 13:10:00,30,doctorat,3rd,Architecture and urban planning,7–8 hours,Less than 2 hours,yes,1,10–20 hours,no,low,2
07/03/2026 19:20:00,23,cycle d'ingénieur,5th,Cybersecurity,Less than 5 hours,2–4 hours,no,1,Less than 10 hours,no,high,10
23/03/2026 23:02:00,17,préparatoire intégrée,2nd,Computer science,7–8 hours,2–4 hours,yes,2,10–20 hours,no,moderate,4
28/01/2026 11:52:00,24,pharmacie,5th,Clinical pharmacy,More than 8 hours,4–6 hours,no,0,10–20 hours,no,moderate,7
08/04/2026 21:06:00,24,licence,1st,Chemistry,7–8 hours,More than 6 hours,yes,3 or more,10–20 hours,yes,low,7
22/03/2026 17:46:00,20,préparatoire intégrée,1st,Biology,5–6 hours,2–4 hours,no,0,20–30 hours,yes,high,9
07/04/2026 18:40:00,18,préparatoire intégrée,1st,Mathematics,7–8 hours,4–6 hours,yes,0,Less than 10 hours,yes,low,4
08/02/2026 01:25:00,22,pharmacie,4th,Clinical pharmacy,5–6 hours,2–4 hours,no,1,Less than 10 hours,yes,low,7
24/01/2026 11:15:00,18,pharmacie,1st,Industrial pharmacy,5–6 hours,4–6 hours,yes,0,20–30 hours,yes,moderate,8
26/01/2026 19:06:00,25,cycle d'ingénieur,1st,Biomedical engineering,5–6 hours,2–4 hours,yes,0,Less than 10 hours,yes,low,5
02/03/2026 19:35:00,27,médecine,2nd,Pediatrics,Less than 5 hours,4–6 hours,no,1,10–20 hours,yes,high,9
22/01/2026 05:03:00,28,mastère,2nd,Environmental science,7–8 hours,4–6 hours,no,0,Less than 10 hours,yes,low,4
22/03/2026 10:38:00,26,cycle d'ingénieur,4th,Mechanical engineering,Less than 5 hours,2–4 hours,yes,2,More than 30 hours,yes,high,10
14/02/2026 16:56:00,21,cycle d'ingénieur,3rd,Computer science,5–6 hours,4–6 hours,yes,0,10–20 hours,no,low,2
08/02/2026 07:59:00,24,cycle d'ingénieur,3rd,Telecommunications engineering,7–8 hours,More than 6 hours,no,0,Less than 10 hours,no,high,6
04/02/2026 05:45:00,19,cycle d'ingénieur,3rd,Robotics,7–8 hours,More than 6 hours,no,2,Less than 10 hours,yes,moderate,10
26/01/2026 15:33:00,27,cycle d'ingénieur,3rd,Biomedical engineering,5–6 hours,2–4 hours,no,3 or more,Less than 10 hours,no,moderate,4
05/02/2026 10:45:00,24,licence,1st,Sciences de gestion,7–8 hours,More than 6 hours,no,0,10–20 hours,yes,moderate,6
21/01/2026 02:04:00,24,licence,1st,Marketing,Less than 5 hours,4–6 hours,yes,1,Less than 10 hours,yes,low,6
08/04/2026 06:34:00,28,mastère,2nd,AI & machine learning,Less than 5 hours,2–4 hours,yes,1,10–20 hours,no,moderate,5
13/01/2026 09:14:00,24,cycle d'ingénieur,5th,Healthcare IT,7–8 hours,4–6 hours,no,2,20–30 hours,no,low,1
13/01/2026 06:54:00,23,licence,3rd,Law,Less than 5 hours,More than 6 hours,no,1,20–30 hours,yes,high,10
22/03/2026 02:07:00,21,préparatoire intégrée,2nd,Mathematics,7–8 hours,More than 6 hours,yes,1,10–20 hours,no,low,1
24/02/2026 15:39:00,21,cycle d'ingénieur,5th,Industrial computer science,More than 8 hours,4–6 hours,no,0,Less than 10 hours,no,low,1
10/03/2026 00:55:00,31,mastère,2nd,Project management,More than 8 hours,More than 6 hours,no,2,10–20 hours,yes,moderate,7
23/01/2026 13:22:00,21,préparatoire intégrée,2nd,Engineering sciences,5–6 hours,4–6 hours,yes,2,Less than 10 hours,no,low,2
24/01/2026 13:17:00,26,mastère,2nd,Finance & banking,7–8 hours,2–4 hours,no,0,Less than 10 hours,no,low,5
04/03/2026 02:33:00,23,licence,2nd,Physics,5–6 hours,4–6 hours,no,2,20–30 hours,yes,moderate,6
